Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-10-25,5:00 PM,7:00 PM,Arizona Coyotes,3,Florida Panthers,5,Regulation
2021-10-25,5:00 PM,7:00 PM,Calgary Flames,5,New York Rangers,1,Regulation
2021-10-25,5:00 PM,7:00 PM,Toronto Maple Leafs,1,Carolina Hurricanes,4,Regulation
2021-10-25,5:00 PM,7:00 PM,Dallas Stars,1,Columbus Blue Jackets,4,Regulation
2021-10-25,6:00 PM,8:00 PM,Los Angeles Kings,0,St. Louis Blues,3,Regulation
2021-10-26,5:00 PM,7:00 PM,Calgary Flames,5,New Jersey Devils,3,Regulation
2021-10-26,5:00 PM,7:00 PM,Tampa Bay Lightning,5,Pittsburgh Penguins,1,Regulation
2021-10-26,6:00 PM,8:00 PM,Vegas Golden Knights,3,Colorado Avalanche,1,Regulation
2021-10-26,6:30 PM,8:30 PM,San Jose Sharks,1,Nashville Predators,3,Regulation
2021-10-26,8:00 PM,10:00 PM,Minnesota Wild,3,Vancouver Canucks,2,Regulation
2021-10-26,8:00 PM,10:00 PM,Winnipeg Jets,4,Anaheim Ducks,3,Regulation
2021-10-26,8:00 PM,10:00 PM,Montreal Canadiens,1,Seattle Kraken,5,Regulation
2021-10-27,5:00 PM,7:00 PM,Boston Bruins,1,Florida Panthers,4,Regulation
2021-10-27,5:00 PM,7:00 PM,Detroit Red Wings,3,Washington Capitals,2,OT
2021-10-27,5:30 PM,7:30 PM,Toronto Maple Leafs,3,Chicago Blackhawks,2,OT
2021-10-27,6:30 PM,8:30 PM,Vegas Golden Knights,3,Dallas Stars,2,OT
2021-10-27,8:00 PM,10:00 PM,Philadelphia Flyers,5,Edmonton Oilers,3,Regulation
2021-10-28,5:00 PM,7:00 PM,Arizona Coyotes,1,Tampa Bay Lightning,5,Regulation
2021-10-28,5:00 PM,7:00 PM,Calgary Flames,4,Pittsburgh Penguins,0,Regulation
2021-10-28,5:00 PM,7:00 PM,Boston Bruins,0,Carolina Hurricanes,3,Regulation
2021-10-28,6:00 PM,8:00 PM,Colorado Avalanche,4,St. Louis Blues,3,Regulation
2021-10-28,8:00 PM,10:00 PM,Philadelphia Flyers,2,Vancouver Canucks,1,Regulation
2021-10-28,8:00 PM,10:00 PM,Buffalo Sabres,4,Anaheim Ducks,3,OT
2021-10-28,8:00 PM,10:00 PM,Minnesota Wild,1,Seattle Kraken,4,Regulation
2021-10-28,8:30 PM,10:30 PM,Winnipeg Jets,3,Los Angeles Kings,2,Regulation
2021-10-28,8:30 PM,10:30 PM,Montreal Canadiens,4,San Jose Sharks,0,Regulation
2021-10-29,5:00 PM,7:00 PM,Florida Panthers,3,Detroit Red Wings,2,OT
2021-10-29,5:00 PM,7:00 PM,Columbus Blue Jackets,0,New York Rangers,4,Regulation
2021-10-29,5:00 PM,7:00 PM,Arizona Coyotes,0,Washington Capitals,2,Regulation
2021-10-29,5:00 PM,7:00 PM,Chicago Blackhawks,3,Carolina Hurricanes,6,Regulation
2021-10-29,6:00 PM,8:00 PM,Anaheim Ducks,4,Vegas Golden Knights,5,SO
2021-10-29,6:30 PM,8:30 PM,Ottawa Senators,4,Dallas Stars,1,Regulation
2021-10-30,11:30 AM,1:30 PM,New York Islanders,2,Nashville Predators,3,SO
2021-10-30,2:00 PM,4:00 PM,Montreal Canadiens,2,Los Angeles Kings,5,Regulation
2021-10-30,5:00 PM,7:00 PM,Florida Panthers,2,Boston Bruins,3,SO
2021-10-30,5:00 PM,7:00 PM,Detroit Red Wings,4,Toronto Maple Leafs,5,Regulation
2021-10-30,5:00 PM,7:00 PM,New Jersey Devils,4,Pittsburgh Penguins,2,Regulation
2021-10-30,5:00 PM,7:00 PM,Winnipeg Jets,1,San Jose Sharks,2,OT
2021-10-30,6:00 PM,8:00 PM,Chicago Blackhawks,0,St. Louis Blues,1,Regulation
