Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2022-01-13,8:00 PM,9:00 PM,Ottawa Senators,4,Calgary Flames,1,Regulation
2022-01-13,9:30 PM,10:30 PM,Pittsburgh Penguins,2,Los Angeles Kings,6,Regulation
2022-01-13,9:30 PM,10:30 PM,New York Rangers,3,San Jose Sharks,0,Regulation
2022-01-14,6:00 PM,7:00 PM,Dallas Stars,1,Florida Panthers,7,Regulation
2022-01-14,7:00 PM,8:00 PM,Anaheim Ducks,3,Minnesota Wild,7,Regulation
2022-01-14,8:00 PM,9:00 PM,Arizona Coyotes,3,Colorado Avalanche,4,SO
2022-01-15,12:00 PM,1:00 PM,Nashville Predators,3,Boston Bruins,4,OT
2022-01-15,12:00 PM,1:00 PM,Vancouver Canucks,1,Carolina Hurricanes,4,Regulation
2022-01-15,1:00 PM,2:00 PM,Washington Capitals,2,New York Islanders,0,Regulation
2022-01-15,5:00 PM,6:00 PM,Columbus Blue Jackets,2,Florida Panthers,9,Regulation
2022-01-15,6:00 PM,7:00 PM,Buffalo Sabres,0,Detroit Red Wings,4,Regulation
2022-01-15,6:00 PM,7:00 PM,Dallas Stars,1,Tampa Bay Lightning,3,Regulation
2022-01-15,6:00 PM,7:00 PM,New York Rangers,3,Philadelphia Flyers,2,Regulation
2022-01-15,6:00 PM,7:00 PM,Toronto Maple Leafs,6,St. Louis Blues,5,Regulation
2022-01-15,7:30 PM,8:30 PM,Anaheim Ducks,0,Chicago Blackhawks,3,Regulation
2022-01-15,8:00 PM,9:00 PM,Colorado Avalanche,5,Arizona Coyotes,0,Regulation
2022-01-15,9:00 PM,10:00 PM,Ottawa Senators,6,Edmonton Oilers,4,Regulation
2022-01-15,9:00 PM,10:00 PM,Los Angeles Kings,3,Seattle Kraken,1,Regulation
2022-01-15,9:30 PM,10:30 PM,Pittsburgh Penguins,2,San Jose Sharks,1,OT
2022-01-16,1:00 PM,2:00 PM,Vancouver Canucks,4,Washington Capitals,2,Regulation
2022-01-17,12:00 PM,1:00 PM,Detroit Red Wings,3,Buffalo Sabres,2,OT
2022-01-17,2:00 PM,3:00 PM,Minnesota Wild,3,Colorado Avalanche,4,SO
2022-01-17,3:00 PM,4:00 PM,Montreal Canadiens,2,Arizona Coyotes,5,Regulation
2022-01-17,3:00 PM,4:00 PM,Los Angeles Kings,2,San Jose Sharks,6,Regulation
2022-01-17,4:00 PM,5:00 PM,Chicago Blackhawks,2,Seattle Kraken,3,SO
2022-01-17,6:30 PM,7:30 PM,Philadelphia Flyers,1,New York Islanders,4,Regulation
2022-01-17,7:00 PM,8:00 PM,Nashville Predators,3,St. Louis Blues,5,Regulation
2022-01-17,9:00 PM,10:00 PM,Pittsburgh Penguins,5,Vegas Golden Knights,3,Regulation
2022-01-18,6:00 PM,7:00 PM,New York Islanders,4,Philadelphia Flyers,3,SO
2022-01-18,6:00 PM,7:00 PM,Carolina Hurricanes,7,Boston Bruins,1,Regulation
2022-01-18,6:00 PM,7:00 PM,Buffalo Sabres,3,Ottawa Senators,1,Regulation
2022-01-18,6:00 PM,7:00 PM,Winnipeg Jets,3,Washington Capitals,4,OT
2022-01-18,7:00 PM,8:00 PM,Vancouver Canucks,3,Nashville Predators,1,Regulation
2022-01-18,7:30 PM,8:30 PM,Montreal Canadiens,5,Dallas Stars,3,Regulation
2022-01-18,8:00 PM,9:00 PM,Florida Panthers,1,Calgary Flames,5,Regulation
2022-01-18,9:30 PM,10:30 PM,Tampa Bay Lightning,6,Los Angeles Kings,4,Regulation
2022-01-19,6:00 PM,7:00 PM,Arizona Coyotes,4,New Jersey Devils,1,Regulation
2022-01-19,6:30 PM,7:30 PM,Toronto Maple Leafs,3,New York Rangers,6,Regulation
2022-01-19,9:00 PM,10:00 PM,Colorado Avalanche,2,Anaheim Ducks,0,Regulation
2022-01-20,6:00 PM,7:00 PM,Washington Capitals,3,Boston Bruins,4,Regulation
2022-01-20,6:00 PM,7:00 PM,Dallas Stars,5,Buffalo Sabres,4,Regulation
2022-01-20,6:00 PM,7:00 PM,Columbus Blue Jackets,2,Philadelphia Flyers,1,Regulation
2022-01-20,6:00 PM,7:00 PM,Ottawa Senators,4,Pittsburgh Penguins,6,Regulation
2022-01-20,7:00 PM,8:00 PM,Winnipeg Jets,2,Nashville Predators,5,Regulation
2022-01-20,8:00 PM,9:00 PM,Florida Panthers,6,Edmonton Oilers,0,Regulation
2022-01-20,8:30 PM,9:30 PM,Colorado Avalanche,4,Los Angeles Kings,1,Regulation
2022-01-20,9:00 PM,10:00 PM,Montreal Canadiens,3,Vegas Golden Knights,4,OT
2022-01-20,9:00 PM,10:00 PM,San Jose Sharks,2,Seattle Kraken,3,Regulation
2022-01-21,6:00 PM,7:00 PM,New York Rangers,3,Carolina Hurricanes,6,Regulation
2022-01-21,6:00 PM,7:00 PM,Pittsburgh Penguins,5,Columbus Blue Jackets,2,Regulation
2022-01-21,6:30 PM,7:30 PM,Dallas Stars,5,Detroit Red Wings,4,OT
2022-01-21,6:30 PM,7:30 PM,Arizona Coyotes,0,New York Islanders,4,Regulation
2022-01-21,7:30 PM,8:30 PM,Minnesota Wild,5,Chicago Blackhawks,1,Regulation
2022-01-21,9:00 PM,10:00 PM,Florida Panthers,2,Vancouver Canucks,1,SO
2022-01-21,9:00 PM,10:00 PM,Tampa Bay Lightning,1,Anaheim Ducks,5,Regulation
2022-01-21,9:00 PM,10:00 PM,St. Louis Blues,5,Seattle Kraken,0,Regulation
2022-01-22,12:00 PM,1:00 PM,Philadelphia Flyers,3,Buffalo Sabres,6,Regulation
2022-01-22,2:00 PM,3:00 PM,Winnipeg Jets,2,Boston Bruins,3,Regulation
2022-01-22,6:00 PM,7:00 PM,Carolina Hurricanes,4,New Jersey Devils,7,Regulation
2022-01-22,6:00 PM,7:00 PM,Arizona Coyotes,3,New York Rangers,7,Regulation
2022-01-22,6:00 PM,7:00 PM,Ottawa Senators,2,Washington Capitals,3,OT
2022-01-22,6:00 PM,7:00 PM,Montreal Canadiens,2,Colorado Avalanche,3,OT
2022-01-22,6:00 PM,7:00 PM,Toronto Maple Leafs,3,New York Islanders,1,Regulation
2022-01-22,7:30 PM,8:30 PM,Detroit Red Wings,1,Nashville Predators,4,Regulation
2022-01-22,8:00 PM,9:00 PM,Chicago Blackhawks,3,Minnesota Wild,4,OT
2022-01-22,9:00 PM,10:00 PM,Calgary Flames,3,Edmonton Oilers,5,Regulation
2022-01-22,9:30 PM,10:30 PM,Tampa Bay Lightning,7,San Jose Sharks,1,Regulation
2022-01-23,12:00 PM,1:00 PM,Winnipeg Jets,2,Pittsburgh Penguins,3,SO
2022-01-23,5:00 PM,6:00 PM,Ottawa Senators,2,Columbus Blue Jackets,1,Regulation
2022-01-23,6:00 PM,7:00 PM,Los Angeles Kings,3,New Jersey Devils,2,Regulation
2022-01-23,8:00 PM,9:00 PM,Florida Panthers,3,Seattle Kraken,5,Regulation
2022-01-23,9:00 PM,10:00 PM,St. Louis Blues,3,Vancouver Canucks,1,Regulation
2022-01-24,6:00 PM,7:00 PM,Anaheim Ducks,5,Boston Bruins,3,Regulation
2022-01-24,6:00 PM,7:00 PM,Los Angeles Kings,2,New York Rangers,3,SO
2022-01-24,6:00 PM,7:00 PM,Dallas Stars,3,Philadelphia Flyers,1,Regulation
2022-01-24,6:00 PM,7:00 PM,Vegas Golden Knights,1,Washington Capitals,0,Regulation
2022-01-24,7:00 PM,8:00 PM,Montreal Canadiens,2,Minnesota Wild,8,Regulation
2022-01-24,8:00 PM,9:00 PM,Chicago Blackhawks,0,Colorado Avalanche,2,Regulation
2022-01-24,8:00 PM,9:00 PM,St. Louis Blues,1,Calgary Flames,7,Regulation
2022-01-25,6:00 PM,7:00 PM,Buffalo Sabres,0,Ottawa Senators,5,Regulation
2022-01-25,6:00 PM,7:00 PM,Dallas Stars,5,New Jersey Devils,1,Regulation
2022-01-25,6:00 PM,7:00 PM,Arizona Coyotes,3,Pittsburgh Penguins,6,Regulation
2022-01-25,6:00 PM,7:00 PM,Vegas Golden Knights,3,Carolina Hurricanes,4,OT
2022-01-25,6:30 PM,7:30 PM,Philadelphia Flyers,3,New York Islanders,4,Regulation
2022-01-25,7:00 PM,8:00 PM,Florida Panthers,5,Winnipeg Jets,3,Regulation
2022-01-25,9:00 PM,10:00 PM,Edmonton Oilers,3,Vancouver Canucks,2,OT
2022-01-25,9:00 PM,10:00 PM,Nashville Predators,4,Seattle Kraken,2,Regulation
2022-01-26,6:00 PM,7:00 PM,Anaheim Ducks,3,Toronto Maple Leafs,4,SO
2022-01-26,6:00 PM,7:00 PM,San Jose Sharks,4,Washington Capitals,1,Regulation
2022-01-26,6:00 PM,7:00 PM,Calgary Flames,6,Columbus Blue Jackets,0,Regulation
2022-01-26,6:30 PM,7:30 PM,Chicago Blackhawks,8,Detroit Red Wings,5,Regulation
2022-01-26,9:00 PM,10:00 PM,Boston Bruins,3,Colorado Avalanche,4,OT
2022-01-27,6:00 PM,7:00 PM,Anaheim Ducks,5,Montreal Canadiens,4,Regulation
2022-01-27,6:00 PM,7:00 PM,Carolina Hurricanes,3,Ottawa Senators,2,SO
2022-01-27,6:00 PM,7:00 PM,New Jersey Devils,2,Tampa Bay Lightning,3,Regulation
2022-01-27,6:00 PM,7:00 PM,Vegas Golden Knights,1,Florida Panthers,4,Regulation
2022-01-27,6:00 PM,7:00 PM,Los Angeles Kings,3,New York Islanders,2,Regulation
2022-01-27,6:00 PM,7:00 PM,Seattle Kraken,2,Pittsburgh Penguins,1,OT
2022-01-27,6:00 PM,7:00 PM,New York Rangers,3,Columbus Blue Jackets,5,Regulation
2022-01-27,7:00 PM,8:00 PM,Calgary Flames,1,St. Louis Blues,5,Regulation
2022-01-27,7:00 PM,8:00 PM,Vancouver Canucks,5,Winnipeg Jets,1,Regulation
2022-01-27,8:00 PM,9:00 PM,Nashville Predators,2,Edmonton Oilers,3,SO
2022-01-28,6:00 PM,7:00 PM,Detroit Red Wings,3,Pittsburgh Penguins,2,SO
2022-01-28,7:00 PM,8:00 PM,Minnesota Wild,3,New York Rangers,2,Regulation
2022-01-28,7:30 PM,8:30 PM,Colorado Avalanche,6,Chicago Blackhawks,4,Regulation
2022-01-28,8:00 PM,9:00 PM,Washington Capitals,5,Dallas Stars,0,Regulation
2022-01-28,8:00 PM,9:00 PM,Boston Bruins,2,Arizona Coyotes,1,Regulation
2022-01-29,11:30 AM,12:30 PM,Anaheim Ducks,2,Ottawa Senators,1,Regulation
2022-01-29,12:00 PM,1:00 PM,Los Angeles Kings,3,Philadelphia Flyers,4,OT
2022-01-29,2:00 PM,3:00 PM,Winnipeg Jets,4,St. Louis Blues,1,Regulation
2022-01-29,5:00 PM,6:00 PM,San Jose Sharks,4,Florida Panthers,5,OT
2022-01-29,6:00 PM,7:00 PM,Edmonton Oilers,7,Montreal Canadiens,2,Regulation
2022-01-29,6:00 PM,7:00 PM,Toronto Maple Leafs,7,Detroit Red Wings,4,Regulation
2022-01-29,6:00 PM,7:00 PM,Vegas Golden Knights,3,Tampa Bay Lightning,2,SO
2022-01-29,6:00 PM,7:00 PM,New Jersey Devils,1,Carolina Hurricanes,2,Regulation
2022-01-29,8:00 PM,9:00 PM,Buffalo Sabres,3,Arizona Coyotes,1,Regulation
2022-01-29,9:00 PM,10:00 PM,Vancouver Canucks,0,Calgary Flames,1,OT
2022-01-30,12:00 PM,1:00 PM,Seattle Kraken,2,New York Rangers,3,Regulation
2022-01-30,12:00 PM,1:00 PM,Los Angeles Kings,4,Pittsburgh Penguins,3,Regulation
2022-01-30,4:00 PM,5:00 PM,San Jose Sharks,1,Carolina Hurricanes,2,Regulation
2022-01-30,6:00 PM,7:00 PM,Columbus Blue Jackets,6,Montreal Canadiens,3,Regulation
2022-01-30,6:00 PM,7:00 PM,Boston Bruins,1,Dallas Stars,6,Regulation
2022-01-30,6:30 PM,7:30 PM,Minnesota Wild,4,New York Islanders,3,Regulation
2022-01-30,7:00 PM,8:00 PM,Buffalo Sabres,1,Colorado Avalanche,4,Regulation
2022-01-31,6:00 PM,7:00 PM,Florida Panthers,8,Columbus Blue Jackets,4,Regulation
2022-01-31,6:30 PM,7:30 PM,New Jersey Devils,4,Toronto Maple Leafs,6,Regulation
2022-01-31,6:30 PM,7:30 PM,Edmonton Oilers,2,Ottawa Senators,3,OT
2022-01-31,6:30 PM,7:30 PM,Anaheim Ducks,1,Detroit Red Wings,2,OT
2022-01-31,6:30 PM,7:30 PM,Vancouver Canucks,3,Chicago Blackhawks,1,Regulation
2022-02-01,6:00 PM,7:00 PM,Seattle Kraken,2,Boston Bruins,3,Regulation
2022-02-01,6:00 PM,7:00 PM,San Jose Sharks,2,Tampa Bay Lightning,3,OT
2022-02-01,6:00 PM,7:00 PM,Toronto Maple Leafs,7,New Jersey Devils,1,Regulation
2022-02-01,6:00 PM,7:00 PM,Florida Panthers,2,New York Rangers,5,Regulation
2022-02-01,6:00 PM,7:00 PM,Winnipeg Jets,1,Philadelphia Flyers,3,Regulation
2022-02-01,6:00 PM,7:00 PM,Washington Capitals,4,Pittsburgh Penguins,3,OT
2022-02-01,6:30 PM,7:30 PM,Ottawa Senators,1,New York Islanders,4,Regulation
2022-02-01,7:00 PM,8:00 PM,Vancouver Canucks,2,Nashville Predators,4,Regulation
2022-02-01,7:30 PM,8:30 PM,Calgary Flames,4,Dallas Stars,3,Regulation
2022-02-01,8:00 PM,9:00 PM,Arizona Coyotes,3,Colorado Avalanche,2,SO
2022-02-01,9:00 PM,10:00 PM,Buffalo Sabres,2,Vegas Golden Knights,5,Regulation
2022-02-02,6:00 PM,7:00 PM,Seattle Kraken,3,New York Islanders,0,Regulation
2022-02-02,6:00 PM,7:00 PM,Edmonton Oilers,5,Washington Capitals,3,Regulation
2022-02-02,6:30 PM,7:30 PM,Los Angeles Kings,5,Detroit Red Wings,3,Regulation
2022-02-02,8:30 PM,9:30 PM,Minnesota Wild,5,Chicago Blackhawks,0,Regulation
2022-02-02,8:30 PM,9:30 PM,Calgary Flames,4,Arizona Coyotes,2,Regulation
2022-02-07,6:00 PM,7:00 PM,Carolina Hurricanes,3,Toronto Maple Leafs,4,OT
2022-02-07,6:00 PM,7:00 PM,New Jersey Devils,1,Ottawa Senators,4,Regulation
2022-02-08,6:00 PM,7:00 PM,Carolina Hurricanes,3,Ottawa Senators,4,Regulation
2022-02-08,6:00 PM,7:00 PM,Pittsburgh Penguins,4,Boston Bruins,2,Regulation
2022-02-08,6:00 PM,7:00 PM,New Jersey Devils,7,Montreal Canadiens,1,Regulation
2022-02-08,6:00 PM,7:00 PM,Columbus Blue Jackets,5,Washington Capitals,4,Regulation
2022-02-08,7:00 PM,8:00 PM,Minnesota Wild,0,Winnipeg Jets,2,Regulation
2022-02-08,8:00 PM,9:00 PM,Vegas Golden Knights,4,Edmonton Oilers,0,Regulation
2022-02-08,9:00 PM,10:00 PM,Arizona Coyotes,1,Vancouver Canucks,5,Regulation
2022-02-09,6:00 PM,7:00 PM,Detroit Red Wings,6,Philadelphia Flyers,3,Regulation
2022-02-09,7:00 PM,8:00 PM,Nashville Predators,3,Dallas Stars,4,Regulation
2022-02-09,7:00 PM,8:00 PM,Chicago Blackhawks,4,Edmonton Oilers,1,Regulation
2022-02-09,8:30 PM,9:30 PM,Vegas Golden Knights,0,Calgary Flames,6,Regulation
2022-02-09,9:00 PM,10:00 PM,Arizona Coyotes,5,Seattle Kraken,2,Regulation
2022-02-09,9:30 PM,10:30 PM,New York Islanders,6,Vancouver Canucks,3,Regulation
2022-02-10,6:00 PM,7:00 PM,Columbus Blue Jackets,4,Buffalo Sabres,3,OT
2022-02-10,6:00 PM,7:00 PM,Carolina Hurricanes,6,Boston Bruins,0,Regulation
2022-02-10,6:00 PM,7:00 PM,Pittsburgh Penguins,2,Ottawa Senators,0,Regulation
2022-02-10,6:00 PM,7:00 PM,Washington Capitals,5,Montreal Canadiens,2,Regulation
2022-02-10,7:00 PM,8:00 PM,New Jersey Devils,7,St. Louis Blues,4,Regulation
2022-02-10,8:00 PM,9:00 PM,Toronto Maple Leafs,2,Calgary Flames,5,Regulation
2022-02-10,8:00 PM,9:00 PM,Tampa Bay Lightning,2,Colorado Avalanche,3,Regulation
2022-02-11,7:30 PM,8:30 PM,Winnipeg Jets,3,Dallas Stars,4,OT
2022-02-11,8:00 PM,9:00 PM,New York Islanders,1,Edmonton Oilers,3,Regulation
2022-02-11,8:30 PM,9:30 PM,Tampa Bay Lightning,4,Arizona Coyotes,3,Regulation
2022-02-11,9:00 PM,10:00 PM,Seattle Kraken,4,Anaheim Ducks,3,Regulation
2022-02-12,11:00 AM,12:00 PM,Philadelphia Flyers,2,Detroit Red Wings,4,Regulation
2022-02-12,11:30 AM,12:30 PM,Boston Bruins,2,Ottawa Senators,0,Regulation
2022-02-12,11:30 AM,12:30 PM,Columbus Blue Jackets,2,Montreal Canadiens,1,Regulation
2022-02-12,6:00 PM,7:00 PM,Toronto Maple Leafs,2,Vancouver Canucks,3,Regulation
2022-02-12,6:00 PM,7:00 PM,Winnipeg Jets,5,Nashville Predators,2,Regulation
2022-02-12,7:00 PM,8:00 PM,Carolina Hurricanes,2,Minnesota Wild,3,Regulation
2022-02-12,7:00 PM,8:00 PM,Chicago Blackhawks,1,St. Louis Blues,5,Regulation
2022-02-12,9:00 PM,10:00 PM,New York Islanders,2,Calgary Flames,5,Regulation
2022-02-13,11:30 AM,12:30 PM,Ottawa Senators,4,Washington Capitals,1,Regulation
2022-02-13,11:30 AM,12:30 PM,Buffalo Sabres,5,Montreal Canadiens,3,Regulation
2022-02-13,12:30 PM,1:30 PM,Pittsburgh Penguins,4,New Jersey Devils,2,Regulation
2022-02-13,1:00 PM,2:00 PM,Colorado Avalanche,4,Dallas Stars,0,Regulation
2022-02-14,7:00 PM,8:00 PM,Detroit Red Wings,4,Minnesota Wild,7,Regulation
2022-02-14,8:00 PM,9:00 PM,Toronto Maple Leafs,6,Seattle Kraken,2,Regulation
2022-02-14,8:00 PM,9:00 PM,Chicago Blackhawks,3,Winnipeg Jets,1,Regulation
2022-02-14,9:30 PM,10:30 PM,Edmonton Oilers,3,San Jose Sharks,0,Regulation
2022-02-15,6:00 PM,7:00 PM,St. Louis Blues,5,Ottawa Senators,2,Regulation
2022-02-15,6:00 PM,7:00 PM,Philadelphia Flyers,4,Pittsburgh Penguins,5,OT
2022-02-15,6:00 PM,7:00 PM,New York Islanders,3,Buffalo Sabres,6,Regulation
2022-02-15,6:00 PM,7:00 PM,Tampa Bay Lightning,6,New Jersey Devils,3,Regulation
2022-02-15,6:00 PM,7:00 PM,Boston Bruins,1,New York Rangers,2,SO
2022-02-15,7:00 PM,8:00 PM,Washington Capitals,4,Nashville Predators,1,Regulation
2022-02-15,8:00 PM,9:00 PM,Columbus Blue Jackets,2,Calgary Flames,6,Regulation
2022-02-15,8:00 PM,9:00 PM,Dallas Stars,4,Colorado Avalanche,1,Regulation
2022-02-15,9:30 PM,10:30 PM,Edmonton Oilers,5,Los Angeles Kings,2,Regulation
2022-02-16,6:00 PM,7:00 PM,Minnesota Wild,3,Winnipeg Jets,6,Regulation
2022-02-16,6:30 PM,7:30 PM,Florida Panthers,3,Carolina Hurricanes,2,OT
2022-02-16,8:30 PM,9:30 PM,Anaheim Ducks,2,Calgary Flames,6,Regulation
2022-02-16,9:00 PM,10:00 PM,Colorado Avalanche,2,Vegas Golden Knights,0,Regulation
2022-02-17,6:00 PM,7:00 PM,Washington Capitals,5,Philadelphia Flyers,3,Regulation
2022-02-17,6:00 PM,7:00 PM,Detroit Red Wings,3,New York Rangers,2,SO
2022-02-17,6:00 PM,7:00 PM,Pittsburgh Penguins,1,Toronto Maple Leafs,4,Regulation
2022-02-17,6:00 PM,7:00 PM,St. Louis Blues,2,Montreal Canadiens,3,OT
2022-02-17,6:00 PM,7:00 PM,Ottawa Senators,3,Buffalo Sabres,1,Regulation
2022-02-17,6:30 PM,7:30 PM,Boston Bruins,1,New York Islanders,4,Regulation
2022-02-17,7:00 PM,8:00 PM,Seattle Kraken,3,Winnipeg Jets,5,Regulation
2022-02-17,7:30 PM,8:30 PM,Columbus Blue Jackets,7,Chicago Blackhawks,4,Regulation
2022-02-17,8:00 PM,9:00 PM,Anaheim Ducks,3,Edmonton Oilers,7,Regulation
2022-02-17,9:30 PM,10:30 PM,Vancouver Canucks,5,San Jose Sharks,4,OT
2022-02-18,6:00 PM,7:00 PM,Nashville Predators,3,Carolina Hurricanes,5,Regulation
2022-02-18,7:00 PM,8:00 PM,Florida Panthers,6,Minnesota Wild,2,Regulation
2022-02-18,7:30 PM,8:30 PM,Dallas Stars,1,Chicago Blackhawks,0,SO
2022-02-18,9:00 PM,10:00 PM,Los Angeles Kings,4,Vegas Golden Knights,3,OT
2022-02-19,12:00 PM,1:00 PM,Colorado Avalanche,5,Buffalo Sabres,3,Regulation
2022-02-19,3:00 PM,4:00 PM,Edmonton Oilers,4,Winnipeg Jets,2,Regulation
2022-02-19,6:00 PM,7:00 PM,Boston Bruins,3,Ottawa Senators,2,OT
2022-02-19,6:00 PM,7:00 PM,St. Louis Blues,6,Toronto Maple Leafs,3,Regulation
2022-02-19,8:00 PM,9:00 PM,Los Angeles Kings,5,Arizona Coyotes,3,Regulation
2022-02-19,9:00 PM,10:00 PM,Seattle Kraken,1,Calgary Flames,2,Regulation
2022-02-19,9:00 PM,10:00 PM,Anaheim Ducks,7,Vancouver Canucks,4,Regulation
2022-02-20,12:00 PM,1:00 PM,Carolina Hurricanes,4,Pittsburgh Penguins,3,Regulation
2022-02-20,1:00 PM,2:00 PM,Montreal Canadiens,3,New York Islanders,2,SO
2022-02-20,2:00 PM,3:00 PM,Florida Panthers,5,Chicago Blackhawks,2,Regulation
2022-02-20,4:00 PM,5:00 PM,New York Rangers,2,Ottawa Senators,1,Regulation
2022-02-20,5:00 PM,6:00 PM,Buffalo Sabres,3,Columbus Blue Jackets,7,Regulation
2022-02-20,6:00 PM,7:00 PM,Dallas Stars,1,Arizona Coyotes,3,Regulation
2022-02-20,7:00 PM,8:00 PM,Minnesota Wild,7,Edmonton Oilers,3,Regulation
2022-02-20,7:00 PM,8:00 PM,Vegas Golden Knights,4,San Jose Sharks,1,Regulation
2022-02-21,12:00 PM,1:00 PM,Colorado Avalanche,1,Boston Bruins,5,Regulation
2022-02-21,2:00 PM,3:00 PM,Carolina Hurricanes,4,Philadelphia Flyers,3,OT
2022-02-21,3:00 PM,4:00 PM,Winnipeg Jets,1,Calgary Flames,3,Regulation
2022-02-21,6:00 PM,7:00 PM,Toronto Maple Leafs,2,Montreal Canadiens,5,Regulation
2022-02-21,9:00 PM,10:00 PM,Seattle Kraken,2,Vancouver Canucks,5,Regulation
2022-02-22,6:00 PM,7:00 PM,Nashville Predators,6,Florida Panthers,4,Regulation
2022-02-22,6:00 PM,7:00 PM,Toronto Maple Leafs,3,Columbus Blue Jackets,4,OT
2022-02-22,6:00 PM,7:00 PM,Minnesota Wild,3,Ottawa Senators,4,Regulation
2022-02-22,6:00 PM,7:00 PM,St. Louis Blues,4,Philadelphia Flyers,1,Regulation
2022-02-22,9:00 PM,10:00 PM,San Jose Sharks,3,Anaheim Ducks,4,SO
2022-02-22,9:00 PM,10:00 PM,New York Islanders,5,Seattle Kraken,2,Regulation
2022-02-23,6:30 PM,7:30 PM,Colorado Avalanche,5,Detroit Red Wings,2,Regulation
2022-02-23,6:30 PM,7:30 PM,Edmonton Oilers,3,Tampa Bay Lightning,5,Regulation
2022-02-23,6:30 PM,7:30 PM,Winnipeg Jets,2,Dallas Stars,3,OT
2022-02-23,6:30 PM,7:30 PM,Buffalo Sabres,0,Montreal Canadiens,4,Regulation
2022-02-23,9:00 PM,10:00 PM,Los Angeles Kings,3,Arizona Coyotes,2,Regulation
2022-02-24,6:00 PM,7:00 PM,New Jersey Devils,6,Pittsburgh Penguins,1,Regulation
2022-02-24,6:00 PM,7:00 PM,Minnesota Wild,1,Toronto Maple Leafs,3,Regulation
2022-02-24,6:00 PM,7:00 PM,Columbus Blue Jackets,6,Florida Panthers,3,Regulation
2022-02-24,6:00 PM,7:00 PM,Washington Capitals,1,New York Rangers,4,Regulation
2022-02-24,7:30 PM,8:30 PM,Dallas Stars,1,Nashville Predators,2,SO
2022-02-24,9:00 PM,10:00 PM,Calgary Flames,1,Vancouver Canucks,7,Regulation
2022-02-24,9:00 PM,10:00 PM,Boston Bruins,3,Seattle Kraken,2,OT
2022-02-24,9:30 PM,10:30 PM,New York Islanders,3,San Jose Sharks,4,SO
2022-02-25,6:00 PM,7:00 PM,Columbus Blue Jackets,0,Carolina Hurricanes,4,Regulation
2022-02-25,7:00 PM,8:00 PM,Buffalo Sabres,3,St. Louis Blues,5,Regulation
2022-02-25,7:30 PM,8:30 PM,New Jersey Devils,5,Chicago Blackhawks,8,Regulation
2022-02-25,8:00 PM,9:00 PM,Winnipeg Jets,3,Colorado Avalanche,6,Regulation
2022-02-25,8:30 PM,9:30 PM,Vegas Golden Knights,1,Arizona Coyotes,3,Regulation
2022-02-25,9:00 PM,10:00 PM,Los Angeles Kings,4,Anaheim Ducks,1,Regulation
2022-02-26,11:30 AM,12:30 PM,Edmonton Oilers,4,Florida Panthers,3,Regulation
2022-02-26,11:30 AM,12:30 PM,Washington Capitals,1,Philadelphia Flyers,2,Regulation
2022-02-26,2:00 PM,3:00 PM,New York Rangers,0,Pittsburgh Penguins,1,Regulation
2022-02-26,6:00 PM,7:00 PM,Montreal Canadiens,2,Ottawa Senators,1,Regulation
2022-02-26,6:30 PM,7:30 PM,Tampa Bay Lightning,3,Nashville Predators,2,Regulation
2022-02-26,6:30 PM,7:30 PM,Toronto Maple Leafs,10,Detroit Red Wings,7,Regulation
2022-02-26,9:00 PM,10:00 PM,Minnesota Wild,3,Calgary Flames,7,Regulation
2022-02-26,9:00 PM,10:00 PM,Colorado Avalanche,3,Vegas Golden Knights,2,Regulation
2022-02-26,9:00 PM,10:00 PM,Boston Bruins,3,San Jose Sharks,1,Regulation
2022-02-26,9:30 PM,10:30 PM,New York Islanders,2,Los Angeles Kings,5,Regulation
2022-02-27,12:00 PM,1:00 PM,Edmonton Oilers,1,Carolina Hurricanes,2,Regulation
2022-02-27,1:00 PM,2:00 PM,Buffalo Sabres,2,Dallas Stars,4,Regulation
2022-02-27,2:00 PM,3:00 PM,St. Louis Blues,4,Chicago Blackhawks,0,Regulation
2022-02-27,3:00 PM,4:00 PM,Winnipeg Jets,5,Arizona Coyotes,3,Regulation
2022-02-27,5:00 PM,6:00 PM,Pittsburgh Penguins,3,Columbus Blue Jackets,2,Regulation
2022-02-27,6:30 PM,7:30 PM,Vancouver Canucks,5,New York Rangers,2,Regulation
2022-02-27,7:30 PM,8:30 PM,New York Islanders,4,Anaheim Ducks,0,Regulation
2022-02-27,9:00 PM,10:00 PM,Seattle Kraken,1,San Jose Sharks,3,Regulation
2022-02-28,6:30 PM,7:30 PM,Vancouver Canucks,2,New Jersey Devils,7,Regulation
2022-02-28,6:30 PM,7:30 PM,Toronto Maple Leafs,5,Washington Capitals,3,Regulation
2022-02-28,9:30 PM,10:30 PM,Boston Bruins,7,Los Angeles Kings,0,Regulation
2022-03-01,6:00 PM,7:00 PM,Ottawa Senators,2,Tampa Bay Lightning,5,Regulation
2022-03-01,6:00 PM,7:00 PM,Edmonton Oilers,3,Philadelphia Flyers,0,Regulation
2022-03-01,6:00 PM,7:00 PM,New Jersey Devils,3,Columbus Blue Jackets,4,Regulation
2022-03-01,6:30 PM,7:30 PM,Carolina Hurricanes,3,Detroit Red Wings,4,OT
2022-03-01,7:00 PM,8:00 PM,Calgary Flames,5,Minnesota Wild,1,Regulation
